time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,follows,media views,media engagements,promoted media engagements,count_#
2023-11-27 04:52 +0000,28.0,1.0,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-27 04:46 +0000,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-27 04:43 +0000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-27 04:40 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-27 04:34 +0000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-27 00:09 +0000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-27 00:05 +0000,38.0,1.0,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-27 00:00 +0000,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,3
2023-11-26 23:58 +0000,80.0,2.0,0.025,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,-,3
2023-11-26 18:58 +0000,176.0,7.0,0.03977272727272727,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0,0,0,-,0
2023-11-26 18:57 +0000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,0
2023-11-26 18:26 +0000,38.0,7.0,0.18421052631578946,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,6,-,2
2023-11-26 06:37 +0000,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,2
2023-11-26 06:35 +0000,40.0,1.0,0.025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-,2
